Inventaire,Item_Original,Latin_Standard,Categorie
"Rostaing de Greoux (Manosque, 1547)",Semen speragi,Asparagus,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen agni casti,Vitex,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Nasturci,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Semen giti,Nigella,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen apii,Apium,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen scariole,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen petro Macedonici,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen dauci,Daucus,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen juniperi,Juniperus,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Aluminis plume,Alumen,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Myrtillorum,Myrtus,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Semen catapucie,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen staphisagrie,Staphisagria,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen anisi,Anisum,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen feniculi,Foeniculum,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen carvi,Carum,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Gommi dragacanthi,Tragacanthum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Myrre,Myrrha,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",on. ½.,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Gommi elempni,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Gommi edere,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Gommi armoniaci,Ammoniacum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Opopopanacis,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Pouldre de duc,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Plumbi usti,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Spalti,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Thuris,Olibanum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Mastiches,Mastix,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Storacis rubei,Storax,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Storacis calamite,Storax,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Nucis iudice,Nux_indica,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Sene,Senna,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Macis,Macis,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Cete jutinie,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Cubebes,Cubeba,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Azari,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Coloquintide,Colocynthis,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Turbith,Turbith,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Carpo balsami,Balsamum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Spice nardi,Nardus,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Spice celtice,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Squinanti,Squinanthum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Yridis Florentie,Iris,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Spodii,Spodium,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ligni balsami,Balsamum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Liquiritie,Glycyrrhiza,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Succi liquiritie,Glycyrrhiza,SUCCUS
"Rostaing de Greoux (Manosque, 1547)",Anacardi,Anacardium,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Aloes cabalin,Aloe,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Aloes cicotrin,Aloe,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Amigdon,Amygdala,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Rasure eboris,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Calami aromatici,Calamus_aromaticus,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ligni aloes,Lignum_aloes,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Sandali rubei,Santalum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Sandali albi,Santalum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Myrabolanorum citrinorum,Myrobalanus,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Myrabolanorum indorum,Myrobalanus,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Myrabolanorum chebulorum,Myrobalanus,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Myrabolanorum emblicorum,Myrobalanus,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Galange,Galanga,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Acasia,Acacia,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Sandarace,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Momye,Mumia,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Terra mirita,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Salis geme,Sal,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Calami aromatici,Calamus_aromaticus,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Zedoarie,Zedoaria,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ypoquistidos,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Foli indi,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Vici quircini,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Atramonti,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Axungie vitri,,GRAISSE
"Rostaing de Greoux (Manosque, 1547)",Poulciare dencens,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Cere albe,Cera,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Sabon muscat,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Semen carvi,Carum,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Agaric gros,Agaricus,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Boli armenici en pouldre,Bolus,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Fenugreci,Trigonella,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Pulvis bacarum lauri,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Corticis caparis,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Pulvis liquiritie,Glycyrrhiza,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis sanguinis draconis,Sanguis_draconis,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis fenugreci,Trigonella,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis thuris,Olibanum,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Agibisses uno esporto pezant,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ciro provansale,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Mostarde,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Miel,Mel,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Gredo,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Gallo de pays,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Boli armeni,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Alluti ambe son coffin,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Sabon ambe son coffin,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Galles de Romanye ambe les coffina,Galla,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Semen lini,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Collo ambe son coffin,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Coton batut,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Coton filat de Chipres,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Coton pers,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Sierges de toute sorto,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",rouge,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Cire gommade,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Coperose net,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Semolle,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Pomade,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Coton filat an museaulx,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Candelles petites,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Sept torches a baston,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Zinziber,Zingiber,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Pebre,Piper,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Grabeau de canelle,Cinnamomum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Gerofle,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Muscades,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Grana de paradis,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Fusc de girofle,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Codognat ensemble les boytes,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",boytes,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Raisins de Damas ensemble deux,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Carabe,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Litarige,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Fenoyl,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Reubarbe,Rhabarbarum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Prunos,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Coton gros en flotos,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Boli Armeni fin,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Coagulum leporis,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Camphore,Camphora,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Confectio Alchermes,,ELECTUARIUM
"Rostaing de Greoux (Manosque, 1547)",Scamonea,Scammonia,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Lapdani,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Benjoin,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Gallie muschate,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Margaritarum,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",de terre,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Opiat per la gouteto ambe son pot,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Semen contra fino,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Or fin petit,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Succre de Madere,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Succre fin,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Drageo,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Argent vif,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Safran,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Coriandres en grano,Coriandrum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Succre sainct homes,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Cassonade net,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Opiata contra pestem ambe son pot,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Semen cartami,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Spices fines,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Pebre picat,Piper,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Tencho net,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Bougie,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Tryaco ensemble	son	pot	de plomb,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Caperos ambe sa	barille,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Cassie en canon,Cassia_fistula,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Coraline,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Semen berberis,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Plus seze boytes petites per tenir pouldres grossieres.Plus tres dozenis et quatres de petites boytes de quatre onces.,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",an dozonibus + Jacques Bonnet.,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Massapans per metre drageo quatre dozenes et unza.,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",La grand caisso ambe deux saralhos et claus.Ung petit contador ambe une seralho et clau et deux tiradours.Ung grand mortier pezant 100 et tant de ll.Ung aultre mortier ront pezant,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Uno bassino perladoire pezant,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Uno bassine per clarificar pezant,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Uno aultre bassine pezant,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Uno casso per la siro pezant,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",pezant net,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ung gros milon pillon de fere pezant,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ung	aultre pezant,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ung	aultre pezant,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ung candelier que lon met candelles deforo.Ung papirier.Deux banques per les tauliers.Unes grandes balansses de Lymoges que son penduls.,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Unes autres meyenes,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Unes aultres meyenes,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Plus deux peres de petites balances.Uno petito romano lou boulhet redon tiro au grand pes,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",plomb,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Pezo lou pie,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ung aultre senso pie de plomb la capo le fond de metal pauzat a la chaminea dela rere botigo.Quatre espatulles petites et uno per lu miel.Deux planos per cire.Uno escallo de cinq escalons.Uno aultre de 8 escalons.Ung coupador de candellons.Ung banc per tenir dens lu contador.Ung pot de clisteri destan.Uno boursso de clisteri le canon destan.Ung petit destret.Uno coulo de pument.Ung meilier.Uno casso senso crubescel.Uno taulo dessus.Lous bouges.Uno estamino traucado de leuton.Uno boyte de plom per supozitoris.Meches de candelles menudes ambe las vergas ½ ll. ¼½.Meches de candelles deneyranes ½ ll. ¼.Lou restelier de la cire gommade.Ung auttre petit grossier.Ung molle de cambo.,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Seminis myrtillorum,Myrtus,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Seminis juniperi,Juniperus,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Ung forcat.Uno petito barillo nous.Item cinq vielhes barilles.,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Uno coulo dypocras vielho.,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ung	pes de fer,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ung	de,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ung	aultre de,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ung	pes,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ung	pes,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ung	pes	de,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ung	pes	de,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ung escriptori,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ocro rougo en peyro,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Croyo blanco net,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Deux ambollos pezant,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Plus amendes confides,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Anis confit,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Coriandres confits,Coriandrum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",coffin,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",pot,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Solpre ambe son,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Succre sainct homes,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Corticis citri condicti,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",mays,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ceruse,Cerusa,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Fenoilh,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Comin,Cuminum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Lapdani,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Mastiches,Mastix,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Benjoin,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Storacis calamite,Storax,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Succre candi,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",mays,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Zinziber,Zingiber,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",mays,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Argent vif,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Grana de paradis,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",mays,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Girofles trias,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Or fin ung carteron deugrant.,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Quatre taborins blancs vielhs de licii.Item une cuberte de lict.Item une lictiere.,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ita est Rostang de Greulxqua dize que hes vray que Monser Jacques Bonnet agut la prezant ynventari et ses signat eysi desos.,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",De consantemen et a la requeste des parties je se notaire roial me suys soulz signe.,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ferrario Johannis,,SIMPLE
"Steve Villa (Aix, 1506)",aqua emblicorum,,AQUA
"Steve Villa (Aix, 1506)",aqua kebullorum,,AQUA
"Steve Villa (Aix, 1506)",aqua citrinorum,,AQUA
"Steve Villa (Aix, 1506)",pillule fetide maioria,,PILLULA
"Steve Villa (Aix, 1506)",pillule sine quibus esse nollo,,PILLULA
"Steve Villa (Aix, 1506)",pillule auree,,PILLULA
"Steve Villa (Aix, 1506)",pillule cochie,,PILLULA
"Steve Villa (Aix, 1506)",lucis maiorum,,SIMPLE
"Steve Villa (Aix, 1506)",pillule quinque generibus,,PILLULA
"Steve Villa (Aix, 1506)",pillule ellephangine,,PILLULA
"Steve Villa (Aix, 1506)",pillule de castore,,PILLULA
"Steve Villa (Aix, 1506)",de pillule de yera,,SIMPLE
"Steve Villa (Aix, 1506)",pillule de aguarico,,PILLULA
"Steve Villa (Aix, 1506)",pillule de fumoterre,Fumaria,PILLULA
"Steve Villa (Aix, 1506)",pillule communis,,PILLULA
"Steve Villa (Aix, 1506)",turbith,Turbith,SIMPLE
"Steve Villa (Aix, 1506)",tartari,,SIMPLE
"Steve Villa (Aix, 1506)",semen fenuculi,Foeniculum,SEMEN
"Steve Villa (Aix, 1506)",semen carthami,,SEMEN
"Steve Villa (Aix, 1506)",lignum aloes,Lignum_aloes,SIMPLE
"Steve Villa (Aix, 1506)",trocisci dyavy,,TROCISCUS
"Steve Villa (Aix, 1506)",trocisci kakabre,,TROCISCUS
"Steve Villa (Aix, 1506)",trocisci de spodio,,TROCISCUS
"Steve Villa (Aix, 1506)",gallie muscate,,SIMPLE
"Steve Villa (Aix, 1506)",alipte muscate,,SIMPLE
"Steve Villa (Aix, 1506)",trocisci de agarico,Agaricus,TROCISCUS
"Steve Villa (Aix, 1506)",trocisci dya rodon,,TROCISCUS
"Steve Villa (Aix, 1506)",trocisci arkakange,,TROCISCUS
"Steve Villa (Aix, 1506)",trocisci de mirra,Myrrha,TROCISCUS
"Steve Villa (Aix, 1506)",lapis stapacis,,LAPIS
"Steve Villa (Aix, 1506)",lapis sanguinarie,,LAPIS
"Steve Villa (Aix, 1506)",borratis,Borax,SIMPLE
"Steve Villa (Aix, 1506)",lapis dyamantia,,LAPIS
"Steve Villa (Aix, 1506)",salis gamme,,SIMPLE
"Steve Villa (Aix, 1506)",lapis lazuli,Lapis_lazuli,LAPIS
"Steve Villa (Aix, 1506)",lapis jacintorum,,LAPIS
"Steve Villa (Aix, 1506)",anthimonii,,SIMPLE
"Steve Villa (Aix, 1506)",calaminarum,,SIMPLE
"Steve Villa (Aix, 1506)",lapis safizorum,,LAPIS
"Steve Villa (Aix, 1506)",lapis esmaradarum,,LAPIS
"Steve Villa (Aix, 1506)",lapis rubinorum,,LAPIS
"Steve Villa (Aix, 1506)",sandali rubei,Santalum,SIMPLE
"Steve Villa (Aix, 1506)",sandali albi,Santalum,SIMPLE
"Steve Villa (Aix, 1506)",sandali rubei pulverisati,Santalum,SIMPLE
"Steve Villa (Aix, 1506)",cubebarum,,SIMPLE
"Steve Villa (Aix, 1506)",amelles amares,Mel,SIMPLE
"Steve Villa (Aix, 1506)",aloes cicotrini,Aloe,SIMPLE
"Steve Villa (Aix, 1506)",scamonea,Scammonia,SIMPLE
"Steve Villa (Aix, 1506)",dyagredii,,SIMPLE
"Steve Villa (Aix, 1506)",colloquintide,,SIMPLE
"Steve Villa (Aix, 1506)",agarici albi,Agaricus,SIMPLE
"Steve Villa (Aix, 1506)",myny,,SIMPLE
"Steve Villa (Aix, 1506)",mirtillorum,Myrtus,SIMPLE
"Steve Villa (Aix, 1506)",squinanti,Squinanthum,SIMPLE
"Steve Villa (Aix, 1506)",storacis rubei,Storax,SIMPLE
"Steve Villa (Aix, 1506)",folii indi,,SIMPLE
"Steve Villa (Aix, 1506)",piperis longi,Piper,SIMPLE
"Steve Villa (Aix, 1506)",zedoari,,SIMPLE
"Steve Villa (Aix, 1506)",cardamoni,,SIMPLE
"Steve Villa (Aix, 1506)",blacte bizancie,,SIMPLE
"Steve Villa (Aix, 1506)",piretri,Pyrethrum,SIMPLE
"Steve Villa (Aix, 1506)",storacis calamite [ ___ ]Item plus [ ___ ___ ___ ___ ___ ],Storax,SIMPLE
"Steve Villa (Aix, 1506)",ceruze,Cerusa,SIMPLE
"Steve Villa (Aix, 1506)",lapdanum,,SIMPLE
"Steve Villa (Aix, 1506)",amidum,,SIMPLE
"Steve Villa (Aix, 1506)",nucis cipreci,,SIMPLE
"Steve Villa (Aix, 1506)",cristali,,SIMPLE
"Steve Villa (Aix, 1506)",axongie vitri,,SIMPLE
"Steve Villa (Aix, 1506)",assa fetida,Asa_foetida,SIMPLE
"Steve Villa (Aix, 1506)",eufforbi,,SIMPLE
"Steve Villa (Aix, 1506)",gommi lacca,,SIMPLE
"Steve Villa (Aix, 1506)",corali albi,,SIMPLE
"Steve Villa (Aix, 1506)",bedeli,,SIMPLE
"Steve Villa (Aix, 1506)",oppoponacis,,SIMPLE
"Steve Villa (Aix, 1506)",momie,,SIMPLE
"Steve Villa (Aix, 1506)",sertacolle,,SIMPLE
"Steve Villa (Aix, 1506)",stercore laserti,,SIMPLE
"Steve Villa (Aix, 1506)",gommi arabici,Gummi_arabicum,SIMPLE
"Steve Villa (Aix, 1506)",oppy tebayci,,SIMPLE
"Steve Villa (Aix, 1506)",accassie,Cassia_fistula,SIMPLE
"Steve Villa (Aix, 1506)",aurpimenti,Auripigmentum,SIMPLE
"Steve Villa (Aix, 1506)",carpobalsani,,SIMPLE
"Steve Villa (Aix, 1506)",serapini,,SIMPLE
"Steve Villa (Aix, 1506)",ypoquistidos,,SIMPLE
"Steve Villa (Aix, 1506)",terre sigilate,,SIMPLE
"Steve Villa (Aix, 1506)",olei petroley,,OLEUM
"Steve Villa (Aix, 1506)",lapis entalis,,LAPIS
"Steve Villa (Aix, 1506)",gommi elenni,,SIMPLE
"Steve Villa (Aix, 1506)",corali rubei,,SIMPLE
"Steve Villa (Aix, 1506)",cassie lignee,Cassia_lignea,SIMPLE
"Steve Villa (Aix, 1506)",thutie preperate,,SIMPLE
"Steve Villa (Aix, 1506)",ben albi,,SIMPLE
"Steve Villa (Aix, 1506)",ben rubei,,SIMPLE
"Steve Villa (Aix, 1506)",plus,,SIMPLE
"Steve Villa (Aix, 1506)",panis porcini,,SIMPLE
"Steve Villa (Aix, 1506)",elleboris albi,,SIMPLE
"Steve Villa (Aix, 1506)",radicis peonie,Paeonia,RADIX
"Steve Villa (Aix, 1506)",polipodii quercini,Polypodium,SIMPLE
"Steve Villa (Aix, 1506)",radicis brionie,,RADIX
"Steve Villa (Aix, 1506)",laureole,,SIMPLE
"Steve Villa (Aix, 1506)",radicis tormentille,,RADIX
"Steve Villa (Aix, 1506)",radicis valeriane,,RADIX
"Steve Villa (Aix, 1506)",enulle campane,,SIMPLE
"Steve Villa (Aix, 1506)",razure eboris,,SIMPLE
"Steve Villa (Aix, 1506)",rubea tinthorum,,SIMPLE
"Steve Villa (Aix, 1506)",radicis ezulle,,RADIX
"Steve Villa (Aix, 1506)",radicis lilium celeste,,RADIX
"Steve Villa (Aix, 1506)",radicis acori,Acorus,RADIX
"Steve Villa (Aix, 1506)",corregiolle maiurum,,SIMPLE
"Steve Villa (Aix, 1506)",sigilum Beate Marie,,SIMPLE
"Steve Villa (Aix, 1506)",radicis diptami,Dictamnus,RADIX
"Steve Villa (Aix, 1506)",radicis,,SIMPLE
"Steve Villa (Aix, 1506)",deronici Romani,,SIMPLE
"Steve Villa (Aix, 1506)",reupontici,,SIMPLE
"Steve Villa (Aix, 1506)",radicis bistorte,Bistorta,RADIX
"Steve Villa (Aix, 1506)",radicis yreos,Iris,RADIX
"Steve Villa (Aix, 1506)",corticis bugie,,SIMPLE
"Steve Villa (Aix, 1506)",radicis aristologie rotundo,Aristolochia,RADIX
"Steve Villa (Aix, 1506)",radicis consolida maior,,RADIX
"Steve Villa (Aix, 1506)",florum cameleonte,,SIMPLE
"Steve Villa (Aix, 1506)",radicis meu,,RADIX
"Steve Villa (Aix, 1506)",aluminis plume,Alumen,SIMPLE
"Steve Villa (Aix, 1506)",ocro jaune,,SIMPLE
"Steve Villa (Aix, 1506)",semen petro macedonici,,SEMEN
"Steve Villa (Aix, 1506)",anus castus,,SIMPLE
"Steve Villa (Aix, 1506)",semen aurillorum,,SEMEN
"Steve Villa (Aix, 1506)",radicis tribuli maiorum,,RADIX
"Steve Villa (Aix, 1506)",semen jusquiami,Hyoscyamus,SEMEN
"Steve Villa (Aix, 1506)",semen lupinorum,,SEMEN
"Steve Villa (Aix, 1506)",semen bonbacis,,SEMEN
"Steve Villa (Aix, 1506)",semen millium solis,,SEMEN
"Steve Villa (Aix, 1506)",cornu servi combusti,,SIMPLE
"Steve Villa (Aix, 1506)",semen arcacange,,SEMEN
"Steve Villa (Aix, 1506)",semen nygelle,,SEMEN
"Steve Villa (Aix, 1506)",semen peonie,Paeonia,SEMEN
"Steve Villa (Aix, 1506)",semen psilii,,SEMEN
