Inventaire,Item_Original,Latin_Standard,Categorie
"Rostaing de Greoux (Manosque, 1547)",Vernis per pinctres,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Axungie mureti,,GRAISSE
"Rostaing de Greoux (Manosque, 1547)",Axungie	galine,,GRAISSE
"Rostaing de Greoux (Manosque, 1547)",Axungie	anceris,,GRAISSE
"Rostaing de Greoux (Manosque, 1547)",ll. ½.,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Axungie	vulpi,,GRAISSE
"Rostaing de Greoux (Manosque, 1547)",Medule bovis,,GRAISSE
"Rostaing de Greoux (Manosque, 1547)",Axungie	serpentis,,GRAISSE
"Rostaing de Greoux (Manosque, 1547)",Axungie	anatis,,GRAISSE
"Rostaing de Greoux (Manosque, 1547)",ll. ½.,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Storacis liquide,Storax,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Axungie hyrci,,GRAISSE
"Rostaing de Greoux (Manosque, 1547)",Unguentum album,,UNGUENT
"Rostaing de Greoux (Manosque, 1547)",Unguentum dyalthea,,UNGUENT
"Rostaing de Greoux (Manosque, 1547)",Cerotum sandalinum,,EMPLASTRUM
"Rostaing de Greoux (Manosque, 1547)",Unguentum Martiatum,,UNGUENT
"Rostaing de Greoux (Manosque, 1547)",Unguentum aureum,,UNGUENT
"Rostaing de Greoux (Manosque, 1547)",Unguentum pomphiligos,,UNGUENT
"Rostaing de Greoux (Manosque, 1547)",Unguentum egiptiacum,,UNGUENT
"Rostaing de Greoux (Manosque, 1547)",Unguentum apostolorum,,UNGUENT
"Rostaing de Greoux (Manosque, 1547)",Unguentum Agripa,,UNGUENT
"Rostaing de Greoux (Manosque, 1547)",Unguentum bazilicon,,UNGUENT
"Rostaing de Greoux (Manosque, 1547)",Unguentum Aragon,,UNGUENT
"Rostaing de Greoux (Manosque, 1547)",Unguentum albi Galieni,,UNGUENT
"Rostaing de Greoux (Manosque, 1547)",Ceroti stomatici confortatum,,EMPLASTRUM
"Rostaing de Greoux (Manosque, 1547)",Unguentum fuscon,,UNGUENT
"Rostaing de Greoux (Manosque, 1547)",Hyssopus humida,Hyssopus,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Emplastrum dya chilon magnum,,EMPLASTRUM
"Rostaing de Greoux (Manosque, 1547)",Emplastrum dya chilon commune,,EMPLASTRUM
